Name:;Daten Ger. INSTR 04.09.2020 14:34:57
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:34:58
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
24;04.09.2020 14:35:21;2,6320641;0;204,56807;0;5,8656244;0;24,478701;0;424,65787;0;528,02612;0;537,6952;0;513,48465;0;415,46989;0;0;0
25;04.09.2020 14:35:22;3,2676015;0;199,68086;0;5,8561196;0;24,479952;0;420,36102;0;542,25023;0;544,2081;0;517,65034;0;415,82671;0;0;0
26;04.09.2020 14:35:23;3,5020739;0;201,31219;0;5,851461;0;24,488185;0;425,95748;0;592,3298;0;558,30755;0;526,08422;0;415,96957;0;0;0
27;04.09.2020 14:35:24;3,3784151;0;185,04662;0;5,8467711;0;24,479327;0;437,12405;0;594,26202;0;574,63517;0;538,93005;0;416,63565;0;0;0
28;04.09.2020 14:35:25;3,1413664;0;214,07948;0;5,8410599;0;24,48016;0;442,40225;0;566,83968;0;583,16138;0;549,08774;0;416,8736;0;0;0
29;04.09.2020 14:35:26;2,9680806;0;216,76621;0;5,8417686;0;24,516429;0;454,01966;0;544,8654;0;582,61909;0;552,82242;0;417,06377;0;0;0
30;04.09.2020 14:35:27;2,8179662;0;246,77078;0;5,832243;0;24,480994;0;462,58702;0;552,93288;0;581,22313;0;553,82796;0;417,30172;0;0;0
31;04.09.2020 14:35:28;2,6769391;0;149,07689;0;5,8274072;0;24,481098;0;464,21824;0;533,27356;0;580,10636;0;554,32047;0;417,27795;0;0;0
32;04.09.2020 14:35:29;2,3382005;0;179,19293;0;5,8275531;0;24,519138;0;472,41416;0;512,91274;0;573,48616;0;551,24235;0;417,01623;0;0;0
33;04.09.2020 14:35:30;2,101974;0;197,21813;0;5,8274489;0;24,513823;0;468,34267;0;508,05092;0;566,14651;0;546,44062;0;417,11132;0;0;0
34;04.09.2020 14:35:31;1,8425239;0;168,88612;0;5,827501;0;24,518617;0;464,31114;0;502,12766;0;559,58543;0;541,2694;0;416,99246;0;0;0
35;04.09.2020 14:35:32;1,7494061;0;121,87982;0;5,8256772;0;24,477555;0;455,50493;0;492,47657;0;552,95986;0;535,99566;0;417,01623;0;0;0
36;04.09.2020 14:35:33;1,7168767;0;156,32217;0;5,8322742;0;24,484225;0;452,01713;0;479,68951;0;545,54505;0;529,8189;0;416,73073;0;0;0
37;04.09.2020 14:35:34;1,6165348;0;207,6495;0;5,827303;0;24,49152;0;444,73627;0;472,11149;0;537,37309;0;522,90357;0;416,65942;0;0;0
38;04.09.2020 14:35:35;1,5807576;0;192,37068;0;5,8226444;0;24,528101;0;436,75273;0;467,80456;0;529,82405;0;516,00855;0;416,42147;0;0;0
39;04.09.2020 14:35:36;1,9474719;0;205,32333;0;5,8129833;0;24,494334;0;424,37932;0;464,43956;0;523,11795;0;509,70877;0;416,06466;0;0;0
40;04.09.2020 14:35:37;1,9677599;0;195,59993;0;5,8095024;0;24,517471;0;417,25765;0;461,33493;0;517,35684;0;503,94251;0;415,63653;0;0;0
41;04.09.2020 14:35:38;1,9711898;0;209,75956;0;5,8048542;0;24,479327;0;408,41199;0;458,0681;0;512,08432;0;498,52523;0;415,61276;0;0;0
42;04.09.2020 14:35:39;2,0861567;0;204,7294;0;5,8036974;0;24,478806;0;402,73588;0;455,01611;0;507,26283;0;493,53876;0;415,30349;0;0;0
43;04.09.2020 14:35:40;2,1265715;0;213,15539;0;5,8068031;0;24,476513;0;387,7765;0;452,59872;0;502,81715;0;489,0448;0;415,25572;0;0;0
44;04.09.2020 14:35:41;2,4301523;0;207,60935;0;5,8046458;0;24,479118;0;384,26211;0;450,63236;0;498,86542;0;484,8174;0;414,54209;0;0;0
45;04.09.2020 14:35:42;2,539035;0;208,92364;0;5,8095545;0;24,479848;0;379,68683;0;449,03166;0;495,52584;0;481,20595;0;414,39946;0;0;0
46;04.09.2020 14:35:43;2,6637764;0;213,13063;0;5,8095336;0;24,481098;0;374,03719;0;447,74543;0;492,73386;0;477,61481;0;414,06619;0;0;0
47;04.09.2020 14:35:44;2,7970902;0;197,32431;0;5,8046666;0;24,480682;0;373,55974;0;446,63419;0;490,09221;0;474,76243;0;413,94733;0;0;0
48;04.09.2020 14:35:45;2,8460612;0;187,85979;0;5,8048542;0;24,479952;0;365,50978;0;445,64531;0;487,69219;0;471,78703;0;413,68561;0;0;0
49;04.09.2020 14:35:46;2,8628048;0;205,25354;0;5,8085227;0;24,481098;0;366,74322;0;444,75178;0;485,72175;0;469,65293;0;413,61429;0;0;0
50;04.09.2020 14:35:47;2,9568645;0;205,39574;0;5,804875;0;24,480682;0;368,74575;0;443,95638;0;483,91767;0;467,29307;0;413,5192;0;0;0
51;04.09.2020 14:35:48;2,8143438;0;202,41524;0;5,8000705;0;24,479431;0;372,64469;0;443,2222;0;482,19954;0;465,32301;0;413,47166;0;0;0
52;04.09.2020 14:35:49;2,4740957;0;172,1844;0;5,7998725;0;24,517367;0;370,20454;0;442,50082;0;480,70695;0;463,61991;0;413,23371;0;0;0
53;04.09.2020 14:35:50;2,4387036;0;183,00147;0;5,8001331;0;24,5182;0;376,55699;0;441,84063;0;479,30021;0;461,95762;0;412,99576;0;0;0
54;04.09.2020 14:35:51;2,5430426;0;164,37109;0;5,8048334;0;24,518513;0;373,28132;0;441,20036;0;477,8881;0;460,43906;0;412,75781;0;0;0
55;04.09.2020 14:35:52;2,8452025;0;166,68939;0;5,8085436;0;24,480265;0;368,91817;0;440,57999;0;476,66934;0;459,26948;0;412,61517;0;0;0
56;04.09.2020 14:35:53;3,0669078;0;169,65788;0;5,8277095;0;24,480786;0;369,43532;0;439,94968;0;475,50959;0;457,91516;0;412,30591;0;0;0
57;04.09.2020 14:35:54;2,7651436;0;141,89391;0;5,8278762;0;24,516012;0;368,83851;0;439,32221;0;474,43574;0;456,88912;0;412,21059;0;0;0
58;04.09.2020 14:35:55;2,5428708;0;163,27667;0;5,8281784;0;24,479535;0;365,56285;0;438,66486;0;473,43169;0;455,65783;0;412,04419;0;0;0
59;04.09.2020 14:35:56;2,2875273;0;162,56343;0;5,8327328;0;24,482453;0;364,62132;0;438,0004;0;472,47603;0;454,63179;0;411,40188;0;0;0
60;04.09.2020 14:35:57;1,9951575;0;189,99274;0;5,8272822;0;24,531645;0;365,72203;0;437,35443;0;471,79414;0;453,62626;0;411,35433;0;0;0
61;04.09.2020 14:35:58;1,8914326;0;165,36309;0;5,8258752;0;24,531645;0;364,84668;0;436,68285;0;470,99948;0;452,80546;0;411,30656;0;0;0
62;04.09.2020 14:35:59;1,7687677;0;118,43521;0;5,8370892;0;24,520597;0;363,34819;0;435,99846;0;470,26389;0;451,82063;0;410,87843;0;0;0
63;04.09.2020 14:36:00;1,7229922;0;156,92022;0;5,8275635;0;24,52956;0;360,73549;0;435,31124;0;469,57664;0;450,89711;0;410,61671;0;0;0
64;04.09.2020 14:36:01;1,5063874;0;178,14915;0;5,8273238;0;24,529665;0;359,60831;0;434,59555;0;468,79277;0;450,28157;0;410,18858;0;0;0
65;04.09.2020 14:36:02;1,539989;0;183,17706;0;5,8274281;0;24,519555;0;357,42012;0;433,85425;0;467,97128;0;449,21451;0;410,11704;0;0;0
66;04.09.2020 14:36:03;1,5535682;0;191,95272;0;5,8228528;0;24,540086;0;359,1441;0;433,00909;0;467,17663;0;448,45524;0;409,45096;0;0;0
67;04.09.2020 14:36:04;1,5574769;0;226,0161;0;5,8226131;0;24,53029;0;358,12292;0;431,47384;0;466,26925;0;447,57273;0;409,21324;0;0;0
68;04.09.2020 14:36:05;1,5590852;0;217,21943;0;5,8162037;0;24,530707;0;355,48388;0;429,41927;0;465,1256;0;446,64941;0;408,80865;0;0;0
69;04.09.2020 14:36:06;1,5594859;0;199,53679;0;5,8225298;0;24,52956;0;355,27163;0;423,21429;0;463,51488;0;445,45913;0;408,09503;0;0;0
70;04.09.2020 14:36:07;1,4480685;0;158,71812;0;5,8132855;0;24,519972;0;359,54201;0;430,44514;0;462,54307;0;444,28955;0;407,6429;0;0;0
