Name:;Daten Ger. INSTR 04.09.2020 14:18:43
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:18:43
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
19;04.09.2020 14:19:01;1,3690244;0;187,35741;0;5,9548048;0;24,135818;0;163,50461;0;206,31276;0;209,94511;0;199,97221;0;168,88583;0;0;0
20;04.09.2020 14:19:02;1,4258027;0;168,0093;0;5,9644034;0;24,124563;0;162,81491;0;206,9886;0;210,57866;0;200,66997;0;169,52813;0;0;0
21;04.09.2020 14:19:03;1,4610959;0;165,186;0;5,9608286;0;24,134151;0;163,26589;0;207,65306;0;211,20684;0;201,2035;0;170,38462;0;0;0
22;04.09.2020 14:19:04;1,3672964;0;204,99016;0;5,9605889;0;24,126335;0;163,75656;0;208,30756;0;211,91561;0;201,96258;0;171,07447;0;0;0
23;04.09.2020 14:19:05;1,2822408;0;240,8248;0;5,9594634;0;24,125188;0;162,74861;0;208,96064;0;212,58671;0;202,63984;0;171,95472;0;0;0
24;04.09.2020 14:19:06;1,2171297;0;236,64294;0;5,9641636;0;24,133838;0;162,96087;0;209,60804;0;213,19344;0;203,25538;0;172,76344;0;0;0
25;04.09.2020 14:19:07;1,0920863;0;230,32589;0;5,965383;0;24,124875;0;163,47801;0;210,24831;0;213,89142;0;203,95315;0;173,3582;0;0;0
26;04.09.2020 14:19:08;0,98625345;0;218,45456;0;5,9690203;0;24,125084;0;168,43796;0;210,87863;0;214,53575;0;204,38415;0;173,81033;0;0;0
27;04.09.2020 14:19:09;0,9518971;0;89,423716;0;5,9785876;0;24,13488;0;166,63432;0;211,53882;0;215,2391;0;205,24595;0;174,99985;0;0;0
28;04.09.2020 14:19:10;0,8991265;0;123,65108;0;5,9701979;0;24,124459;0;167,45661;0;212,17341;0;215,93171;0;205,96422;0;175,78479;0;0;0
29;04.09.2020 14:19:11;0,868913;0;202,35258;0;5,9690724;0;24,133838;0;167,53614;0;212,81368;0;216,64058;0;206,51825;0;176,14183;0;0;0
30;04.09.2020 14:19:12;0,87336825;0;208,4948;0;5,9650912;0;24,125188;0;169,048;0;213,46534;0;217,27413;0;207,38005;0;177,35512;0;0;0
31;04.09.2020 14:19:13;0,8208266;0;209,24142;0;5,964122;0;24,124563;0;167,70856;0;214,09993;0;217,87549;0;207,91358;0;178,18761;0;0;0
32;04.09.2020 14:19:14;0,8038332;0;229,72634;0;5,9654664;0;24,135714;0;175,10866;0;214,73594;0;218,55732;0;208,38559;0;178,66351;0;0;0
