Name:;Daten Ger. INSTR 04.09.2020 11:09:41
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:09:41
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
27;04.09.2020 11:10:07;-5,532;0;108,81236;0;109,46648;0;1090,7125;0;1940,7629;0;1961,8177;0;-0,000112668;0
28;04.09.2020 11:10:08;-5,531;0;108,81023;0;109,46648;0;1090,7146;0;1940,7842;0;1961,7644;0;-0,000113518;0
29;04.09.2020 11:10:09;-5,529;0;108,8113;0;109,46648;0;1090,7168;0;1940,7842;0;1961,6791;0;-0,000112562;0
30;04.09.2020 11:10:10;-5,529;0;108,81236;0;109,46542;0;1090,7146;0;1940,7522;0;1961,5939;0;-0,000112668;0
31;04.09.2020 11:10:11;-5,531;0;108,81236;0;109,46648;0;1090,72;0;1940,7735;0;1961,5087;0;-0,000112987;0
32;04.09.2020 11:10:12;-5,528;0;108,81236;0;109,46755;0;1090,7178;0;1940,7629;0;1961,466;0;-0,00011373;0
33;04.09.2020 11:10:13;-5,526;0;108,81236;0;109,46755;0;1090,7189;0;1940,7735;0;1961,4021;0;-0,000112881;0
34;04.09.2020 11:10:14;-5,529;0;108,81343;0;109,46755;0;1090,721;0;1940,7629;0;1961,3915;0;-0,000112987;0
35;04.09.2020 11:10:15;-5,527;0;108,81236;0;109,46755;0;1090,7242;0;1940,7842;0;1961,3595;0;-0,000113199;0
36;04.09.2020 11:10:16;-5,527;0;108,81449;0;109,46648;0;1090,7242;0;1940,8055;0;1961,3595;0;-0,000112987;0
37;04.09.2020 11:10:17;-5,527;0;108,81343;0;109,46648;0;1090,7253;0;1940,7948;0;1961,3275;0;-0,000112987;0
38;04.09.2020 11:10:18;-5,528;0;108,81449;0;109,46755;0;1090,7274;0;1940,7948;0;1961,2956;0;-0,000113943;0
39;04.09.2020 11:10:19;-5,524;0;108,81556;0;109,46862;0;1090,7274;0;1940,8268;0;1961,2956;0;-0,000113412;0
40;04.09.2020 11:10:20;-5,526;0;108,81449;0;109,46862;0;1090,7263;0;1940,8374;0;1961,3169;0;-0,000113199;0
