Name:;Daten Ger. INSTR 04.09.2020 11:57:17
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:57:17
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
1;04.09.2020 11:57:17;40,939;0;115,50233;0;116,24422;0;1157,4107;0;2217,0759;0;1027,2323;0;0,000517679;0
2;04.09.2020 11:57:18;40,967;0;115,50467;0;116,25381;0;1157,4831;0;2217,2784;0;1026,9126;0;0,000517785;0
3;04.09.2020 11:57:19;41,002;0;115,50786;0;116,2634;0;1157,5716;0;2217,5661;0;1026,4758;0;0,000518104;0
4;04.09.2020 11:57:20;41,043;0;115,51158;0;116,27512;0;1157,676;0;2217,9284;0;1025,9643;0;0,00051821;0
5;04.09.2020 11:57:21;41,088;0;115,51775;0;116,29003;0;1157,7985;0;2218,3013;0;1025,3463;0;0,000519484;0
6;04.09.2020 11:57:22;41,141;0;115,52211;0;116,30388;0;1157,937;0;2218,7701;0;1024,6431;0;0,000519378;0
7;04.09.2020 11:57:23;41,194;0;115,52934;0;116,32306;0;1158,0957;0;2219,2816;0;1023,8013;0;0,000519697;0
8;04.09.2020 11:57:24;41,254;0;115,53678;0;116,34223;0;1158,2715;0;2219,8463;0;1022,8423;0;0,000520865;0
9;04.09.2020 11:57:25;41,318;0;115,5472;0;116,36461;0;1158,4686;0;2220,4643;0;1021,7661;0;0,000521077;0
10;04.09.2020 11:57:26;41,383;0;115,55752;0;116,38804;0;1158,6827;0;2221,1676;0;1020,5621;0;0,00052267;0
11;04.09.2020 11:57:27;41,45;0;115,56943;0;116,41361;0;1158,9171;0;2221,9134;0;1019,2302;0;0,000523944;0
12;04.09.2020 11:57:28;41,524;0;115,58304;0;116,44344;0;1159,1717;0;2222,7232;0;1017,7598;0;0,000524794;0
13;04.09.2020 11:57:29;41,599;0;115,59729;0;116,4754;0;1159,4434;0;2223,6183;0;1016,1402;0;0,000526493;0
14;04.09.2020 11:57:30;41,678;0;115,61324;0;116,50523;0;1159,7353;0;2224,5559;0;1014,414;0;0,000527449;0
15;04.09.2020 11:57:31;41,76;0;115,63089;0;116,54039;0;1160,0464;0;2225,5575;0;1012,56;0;0,000528723;0
16;04.09.2020 11:57:32;41,847;0;115,6512;0;116,57768;0;1160,3756;0;2226,655;0;1010,5248;0;0,000530741;0
17;04.09.2020 11:57:33;41,937;0;115,67056;0;116,61496;0;1160,7207;0;2227,7845;0;1008,3831;0;0,000532971;0
18;04.09.2020 11:57:34;42,028;0;115,69342;0;116,65758;0;1161,0861;0;2228,9779;0;1006,1029;0;0,000535732;0
19;04.09.2020 11:57:35;42,125;0;115,71745;0;116,69699;0;1161,4675;0;2230,2672;0;1003,6842;0;0,000537855;0
20;04.09.2020 11:57:36;42,225;0;115,74276;0;116,74174;0;1161,866;0;2231,5991;0;1001,1375;0;0,000539661;0
21;04.09.2020 11:57:37;42,33;0;115,7685;0;116,78648;0;1162,2815;0;2232,9949;0;997,46267;0;0,00054274;0
22;04.09.2020 11:57:38;42,435;0;115,79774;0;116,83549;0;1162,7097;0;2234,4547;0;995,19133;0;0,000545395;0
23;04.09.2020 11:57:39;42,549;0;115,82741;0;116,8813;0;1163,155;0;2235,9571;0;992,2563;0;0,000547413;0
24;04.09.2020 11:57:40;42,662;0;115,85793;0;116,93563;0;1163,6174;0;2237,566;0;989,20835;0;0,000551873;0
25;04.09.2020 11:57:41;42,783;0;115,89047;0;116,9857;0;1164,0904;0;2239,1963;0;986,03682;0;0,000554846;0
26;04.09.2020 11:57:42;42,907;0;115,92428;0;117,04003;0;1164,5784;0;2240,9118;0;982,74701;0;0,000558138;0
27;04.09.2020 11:57:43;43,034;0;115,95991;0;117,09863;0;1165,0812;0;2242,6592;0;979,35282;0;0,000561748;0
28;04.09.2020 11:57:44;43,168;0;115,99713;0;117,1519;0;1165,5968;0;2244,4919;0;975,84996;0;0,000564403;0
29;04.09.2020 11:57:45;43,303;0;116,03605;0;117,21156;0;1166,1252;0;2246,346;0;972,23735;0;0,000568014;0
30;04.09.2020 11:57:46;43,442;0;116,07475;0;117,27015;0;1166,6632;0;2248,2746;0;968,52994;0;0,000573111;0
31;04.09.2020 11:57:47;43,588;0;116,11601;0;117,33194;0;1167,213;0;2250,2351;0;964,72027;0;0,000577465;0
32;04.09.2020 11:57:48;43,731;0;116,15812;0;117,3916;0;1167,7744;0;2252,3022;0;960,81469;0;0,000580863;0
33;04.09.2020 11:57:49;43,885;0;116,20204;0;117,45552;0;1168,3433;0;2254,3694;0;956,82498;0;0,000584898;0
34;04.09.2020 11:57:50;44,037;0;116,24702;0;117,51837;0;1168,9239;0;2256,5111;0;952,75533;0;0,00058957;0
35;04.09.2020 11:57:51;44,192;0;116,29232;0;117,58443;0;1169,513;0;2258,6954;0;948,59409;0;0,000594349;0
36;04.09.2020 11:57:52;44,356;0;116,34007;0;117,65154;0;1170,1096;0;2260,9224;0;944,35934;0;0,000598065;0
37;04.09.2020 11:57:53;44,516;0;116,38771;0;117,71653;0;1170,7169;0;2263,1919;0;940,05637;0;0,000604012;0
38;04.09.2020 11:57:54;44,683;0;116,43758;0;117,78365;0;1171,3305;0;2265,5361;0;935,6746;0;0,000609428;0
39;04.09.2020 11:57:55;44,853;0;116,48777;0;117,85183;0;1171,9527;0;2267,9015;0;931,23849;0;0,000614631;0
