Name:;Daten Ger. INSTR 04.09.2020 11:29:45
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:29:45
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
1;04.09.2020 11:29:45;0,429;0;99,824962;0;100,49626;0;1000,4328;0;1607,6469;0;5237,8388;0;-0,001052351;0
2;04.09.2020 11:29:46;0,434;0;99,824749;0;100,49306;0;1000,4467;0;1607,6682;0;5237,338;0;-0,00105182;0
3;04.09.2020 11:29:47;0,438;0;99,824749;0;100,49413;0;1000,4573;0;1607,7215;0;5236,7626;0;-0,001051077;0
4;04.09.2020 11:29:48;0,444;0;99,827408;0;100,49626;0;1000,469;0;1607,7534;0;5236,1978;0;-0,00105097;0
5;04.09.2020 11:29:49;0,447;0;99,827727;0;100,49732;0;1000,4797;0;1607,7854;0;5235,6438;0;-0,001051501;0
6;04.09.2020 11:29:50;0,453;0;99,827195;0;100,49732;0;1000,4893;0;1607,8067;0;5235,0897;0;-0,001051714;0
7;04.09.2020 11:29:51;0,453;0;99,828578;0;100,49839;0;1000,4999;0;1607,8493;0;5234,525;0;-0,001051395;0
8;04.09.2020 11:29:52;0,457;0;99,829747;0;100,49945;0;1000,5085;0;1607,8919;0;5233,9709;0;-0,001052032;0
9;04.09.2020 11:29:53;0,459;0;99,830173;0;100,50158;0;1000,518;0;1607,9239;0;5233,4168;0;-0,001050652;0
10;04.09.2020 11:29:54;0,461;0;99,831023;0;100,50158;0;1000,5276;0;1607,9452;0;5232,8521;0;-0,001051077;0
11;04.09.2020 11:29:55;0,465;0;99,831023;0;100,50265;0;1000,5372;0;1607,9772;0;5232,3193;0;-0,001050546;0
12;04.09.2020 11:29:56;0,466;0;99,831981;0;100,50265;0;1000,5479;0;1608,0198;0;5231,7546;0;-0,001051077;0
13;04.09.2020 11:29:57;0,47;0;99,83315;0;100,50265;0;1000,5564;0;1608,0305;0;5231,2112;0;-0,001050546;0
14;04.09.2020 11:29:58;0,475;0;99,833788;0;100,50585;0;1000,566;0;1608,0731;0;5230,6251;0;-0,001050864;0
