Name:;Daten Ger. INSTR 04.09.2020 11:39:03
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:39:03
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
1;04.09.2020 11:39:03;0,701;0;99,908119;0;100,58362;0;1001,4822;0;1611,3443;0;5178,7234;0;-0,001052776;0
2;04.09.2020 11:39:04;0,724;0;99,911309;0;100,5932;0;1001,5844;0;1611,5787;0;5176,1767;0;-0,00105182;0
3;04.09.2020 11:39:05;0,757;0;99,915244;0;100,60492;0;1001,707;0;1611,8557;0;5172,8736;0;-0,001051183;0
4;04.09.2020 11:39:06;0,796;0;99,920774;0;100,6209;0;1001,855;0;1612,218;0;5168,814;0;-0,00105182;0
5;04.09.2020 11:39:07;0,845;0;99,927579;0;100,63795;0;1002,0244;0;1612,6335;0;5163,9232;0;-0,001050439;0
6;04.09.2020 11:39:08;0,902;0;99,935236;0;100,65925;0;1002,2205;0;1613,0917;0;5158,1587;0;-0,001050015;0
7;04.09.2020 11:39:09;0,967;0;99,945338;0;100,68269;0;1002,4431;0;1613,6351;0;5151,4139;0;-0,001047891;0
8;04.09.2020 11:39:10;1,043;0;99,955865;0;100,70933;0;1002,6935;0;1614,2425;0;5143,6995;0;-0,001048316;0
9;04.09.2020 11:39:11;1,127;0;99,968413;0;100,74022;0;1002,9694;0;1614,9031;0;5134,9512;0;-0,001047572;0
10;04.09.2020 11:39:12;1,221;0;99,98362;0;100,77218;0;1003,273;0;1615,649;0;5125,1377;0;-0,001046086;0
11;04.09.2020 11:39:13;1,322;0;99,99989;0;100,80947;0;1003,6033;0;1616,4588;0;5114,2161;0;-0,00104513;0
12;04.09.2020 11:39:14;1,432;0;100,01849;0;100,84782;0;1003,9644;0;1617,3325;0;5102,197;0;-0,001043218;0
13;04.09.2020 11:39:15;1,551;0;100,03795;0;100,89043;0;1004,349;0;1618,2702;0;5089,0271;0;-0,001041732;0
14;04.09.2020 11:39:16;1,676;0;100,06071;0;100,93518;0;1004,7602;0;1619,3144;0;5074,749;0;-0,001040033;0
