Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
27;04.09.2020 11:46:51;18,474;0;106,35599;0;107,54034;0;1070,1172;0;1851,8552;0;2525,0029;0;-0,000424338;0
28;04.09.2020 11:46:52;18,641;0;106,40065;0;107,61065;0;1070,7639;0;1853,8265;0;2512,5253;0;-0,000419878;0
29;04.09.2020 11:46:53;18,818;0;106,44787;0;107,68097;0;1071,4276;0;1855,8723;0;2499,707;0;-0,000415311;0
30;04.09.2020 11:46:54;19,001;0;106,49636;0;107,75554;0;1072,1062;0;1857,9607;0;2486,5584;0;-0,000410639;0
31;04.09.2020 11:46:55;19,184;0;106,54708;0;107,83011;0;1072,7976;0;1860,1024;0;2473,0688;0;-0,000406391;0
32;04.09.2020 11:46:56;19,371;0;106,59834;0;107,90575;0;1073,5061;0;1862,3081;0;2459,2383;0;-0,000401082;0
33;04.09.2020 11:46:57;19,559;0;106,65151;0;107,98352;0;1074,2231;0;1864,567;0;2445,184;0;-0,000396622;0
34;04.09.2020 11:46:58;19,752;0;106,70585;0;108,06023;0;1074,9581;0;1866,8792;0;2430,8101;0;-0,000390781;0
35;04.09.2020 11:46:59;19,948;0;106,76295;0;108,14333;0;1075,7007;0;1869,2553;0;2416,191;0;-0,000385472;0
36;04.09.2020 11:47:00;20,145;0;106,82133;0;108,22323;0;1076,4624;0;1871,6847;0;2401,2842;0;-0,000380162;0
37;04.09.2020 11:47:01;20,346;0;106,87897;0;108,30632;0;1077,2316;0;1874,1461;0;2386,1644;0;-0,000374109;0
38;04.09.2020 11:47:02;20,549;0;106,94;0;108,39049;0;1078,0114;0;1876,65;0;2370,7782;0;-0,000369225;0
39;04.09.2020 11:47:03;20,753;0;107,0019;0;108,47571;0;1078,8062;0;1879,2499;0;2355,2428;0;-0,000362853;0
40;04.09.2020 11:47:04;20,959;0;107,06496;0;108,56201;0;1079,6116;0;1881,8711;0;2339,4304;0;-0,000357862;0
